# text	start:end:type,...
班昭精神广为流传	0:2:PER
慕容麟前往石盘村并加入石盘中心医院	0:3:PER,5:8:LOC,11:17:ORG
货物已经抵达航天中路	6:10:LOC
报告由张坑人民政府提交	3:9:ORG
阿强加入云海数据研究院	0:2:PER,4:11:ORG
报告由部门提交	-
贺卫方前往舍必崖乡并加入舍必崖科技有限公司	0:3:PER,5:9:LOC,12:21:ORG
货物已经抵达北山根村	6:10:LOC
顾允成参加了项目评审	0:3:PER
霞浯社人民政府发布了新模型	0:7:ORG
他从大台乡返回	2:5:LOC
市长今天发表讲话	-
陆军正在组织训练	-
钱芬前往机场新村并加入机场新证券交易所	0:2:PER,4:8:LOC,11:19:ORG
大卿计算所完成系统升级	0:5:ORG
我们与土城科学院签署协议	3:8:ORG
刘向今天发表讲话	0:2:PER
熊霜参加了项目评审	0:2:PER
货物已经抵达山屏街	6:9:LOC
团队前往李斯路开展调研	4:7:LOC
路由器出现网络故障	-
李翰祥参加了项目评审	0:3:PER
团队前往孟家湾乡开展调研	4:8:LOC
他从东坞村返回	2:5:LOC
团队前往团河北村开展调研	4:8:LOC
我们联系了黄忠	5:7:PER
高昂的成本需要控制	-
团队前往程家山乡开展调研	4:8:LOC
项目位于南通县附近	4:7:LOC
陆心源前往檀木村并加入檀木计算所	0:3:PER,5:8:LOC,11:16:ORG
我们与吉岭人民医院签署协议	3:9:ORG
报告由万泉庄南社中心医院提交	3:12:ORG
团队前往原平路开展调研	4:7:LOC
田间管理需要加强	-
青岚山证券交易所完成系统升级	0:8:ORG
普通用户今天提交申请	-
蒋攸铦前往三门路并加入三门人民政府	0:3:PER,5:8:LOC,11:17:ORG
货物已经抵达电子四路	6:10:LOC
周颢参加了项目评审	0:2:PER
走马坪白族大学完成系统升级	0:7:ORG
项目位于四都村附近	4:7:LOC
团队前往东兰路开展调研	4:7:LOC
我们与昆仑智算中心签署协议	3:9:ORG
团队前往金柄社区开展调研	4:8:LOC
田间管理需要加强	-
团队前往苏家湾开展调研	4:7:LOC
报告由部门提交	-
大学毕业以后继续深造	-
阿贡前往玉瓦乡并加入玉瓦联合实验室	0:2:PER,4:7:LOC,10:17:ORG
袁桐参加了项目评审	0:2:PER
记者采访了徐玮并发布报道	5:7:PER
我们与沿岭技术委员会签署协议	3:10:ORG
郝立新前往顺达路并加入顺达计算所	0:3:PER,5:8:LOC,11:16:ORG
项目位于七里村附近	4:7:LOC
团队前往塔湾镇开展调研	4:7:LOC
我们与前曹各庄技术委员会签署协议	3:12:ORG
他加入了索溪峪土家族科技有限公司	4:16:ORG
项目位于五良太乡附近	4:8:LOC
叠彩路发布了最新通知	0:3:LOC
报告由瑞金技术委员会提交	3:10:ORG
团队前往现场开展调研	-
他从喀尔克乡返回	2:6:LOC
梁佳参加了项目评审	0:2:PER
谢观在技术团队工作	0:2:PER
他加入了潘湖中心医院	4:10:ORG
陆军正在组织训练	-
他从太山返回	2:4:LOC
会议由姚文俊主持	3:6:PER
他从小河子乡返回	2:6:LOC
团队前往如美镇开展调研	4:7:LOC
会议由林佩琴主持	3:6:PER
他加入了奎湖中心医院	4:10:ORG
北章客村发布了最新通知	0:4:LOC
