# text	start:end:type,...
本次路线将经过江西省后继续向前。	7:10:LOC
钱串子被列入本次物种调查名单。	0:3:SPECIES
本案适用守法。	4:6:LAW
本次文档说明了必有我师焉的基本情况。	-
用户正在评价炸食的口感。	6:8:PRODUCT
目鱼被列入本次物种调查名单。	0:2:SPECIES
团队计划前往株洲开展调研。	6:8:LOC
本次文档说明了绿树村边合的基本情况。	-
报告引用了谋杀。	5:7:LAW
团队计划前往湖边开展调研。	6:8:LOC
丹尼尔的生平资料正在整理。	0:3:PER
团队计划前往村委会开展调研。	6:9:LOC
弗兰克的生平资料正在整理。	0:3:PER
系统正在处理关于此事古难全的常规信息。	-
用户正在评价磷酸的口感。	6:8:PRODUCT
项目正在评估运行时间的应用。	6:10:TECH
医学资料中记录了卫生行政部门。	8:14:TECH
系统正在处理关于一见钟情的常规信息。	-
本次路线将经过高地后继续向前。	7:9:LOC
财经报告重点说明了财富。	9:11:TECH
本次文档说明了烽火连三月的基本情况。	-
分析师正在研究年度。	7:9:TECH
项目正在评估带参数的应用。	6:9:TECH
团队计划前往大江开展调研。	6:8:LOC
项目正在评估泛型的应用。	6:8:TECH
本次路线将经过稻田后继续向前。	7:9:LOC
报告引用了招标投标。	5:9:LAW
文档重点解释了传递参数。	7:11:TECH
系统正在处理关于先发制人的常规信息。	-
团队计划前往上都开展调研。	6:8:LOC
团队计划前往城北开展调研。	6:8:LOC
医学资料中记录了拇指。	8:10:TECH
文档重点解释了表名。	7:9:TECH
医学资料中记录了预防措施。	8:12:TECH
医学资料中记录了人参。	8:10:TECH
报告引用了执法。	5:7:LAW
本次路线将经过中和后继续向前。	7:9:LOC
财经报告重点说明了态势。	9:11:TECH
本次路线将经过司法局后继续向前。	7:10:LOC
团队计划前往牡丹开展调研。	6:8:LOC
系统正在处理关于难以为继的常规信息。	-
本次路线将经过北美后继续向前。	7:9:LOC
观测人员记录到了小萨摩。	8:11:SPECIES
系统正在处理关于别开生面的常规信息。	-
防止虐待动物协会被列入本次物种调查名单。	0:8:SPECIES
展会上重点介绍了源动力的配置。	8:11:PRODUCT
本次文档说明了厚积而薄发的基本情况。	-
团队计划前往南区开展调研。	6:8:LOC
观测人员记录到了猎狐犬。	8:11:SPECIES
用户正在比较下护的使用体验。	6:8:PRODUCT
巴拉克的生平资料正在整理。	0:3:PER
项目正在评估实例变量的应用。	6:10:TECH
团队计划前往体育中心开展调研。	6:10:LOC
研究人员正在分析衰竭。	8:10:TECH
团队计划前往山下开展调研。	6:8:LOC
团队计划前往交通银行开展调研。	6:10:LOC
报告引用了违约责任。	5:9:LAW
项目正在评估浮点数的应用。	6:9:TECH
本次文档说明了一波三折的基本情况。	-
用户正在比较头部空间的使用体验。	6:10:PRODUCT
本次文档说明了我自岿然不动的基本情况。	-
观测人员记录到了五步蛇。	8:11:SPECIES
项目正在评估层次结构的应用。	6:10:TECH
野驴被列入本次物种调查名单。	0:2:SPECIES
用户正在评价山药的口感。	6:8:PRODUCT
医学资料中记录了医疗器械。	8:12:TECH
文档重点解释了垃圾回收。	7:11:TECH
虫媒传染被列入本次物种调查名单。	0:4:SPECIES
宠物狗被列入本次物种调查名单。	0:3:SPECIES
